key,value
W00.0,True
W01,True
W03,True
W00.1,True
W00.2,True
W00.9,True
W04,True
W05,True
W06,True
W07,True
W08,True
W09,True
W10,True
W11,True
W12,True
W13,True
W14,True
W15,True
W16,True
W17,True
W18,True
W19,True
W20,False
W21,False
W22,False
W23,False
W24,False
W25,False
W26,False
W27,False
W28,False
W29,False
W30,False
W31,False
W32,False
W33,False
W34,False
W36,False
W37,False
W38,False
W39,False
W40,False
W45,False
W49,False
W50,False
W51,False
W52,False
W54,False
W55,False
W56,False
W57,False
W58,False
W59,False
W60,False
W61,False
W64,False
W85,False
W86,False
W94,False
Y33,False
V03,False
V00,False
V18,False
