key,value
S32.4,Fracture of acetabulum
S32.5,Fracture of pubis
S32.3,Fracture of ilium
S32.6,Fracture of ischium
S32.81,Fracture of pelvis multiple w/ disruption of pelvic circle
S32.82,Fracture of pelvis without disruption of pelvic circle
S32.88,"Fracture of pelvis, other"
S32.89,"Fracture of pelvis, other"
S32.9,"Fracture of pelvis, other"
S32.8,"Fracture of pelvis, other"
S72.00,Fracture of femoral neck
S72.01,Fracture of femoral neck
S72.02,Fracture of femoral neck
S72.03,Fracture of femoral neck
S72.04,Fracture of femoral neck
S72.05,Fracture of other parts of femur
S72.06,Fracture of other parts of femur
S72.08,Fracture of other parts of femur
S72.09,Fracture of other parts of femur
S72.1,Fracture of other parts of femur
S72.2,Fracture of other parts of femur
S72.3,Fracture of other parts of femur
S72.4,Fracture of other parts of femur
S72.8,Fracture of other parts of femur
S72.9,Fracture of other parts of femur
S82.0,Fracture of patella
S82.1,Fracture of tibia and fibula
S82142A,Fracture of tibia and fibula
S82.2,Fracture of tibia and fibula
S82.3,Fracture of tibia and fibula
S89.0,Fracture of tibia and fibula
S89.1,Fracture of tibia and fibula
S89.2,Fracture of tibia and fibula
S89.3,Fracture of tibia and fibula
S82.87,Fracture of tibia and fibula
S82.4,Fracture of tibia and fibula
S82.81,Fracture of tibia and fibula
S82.82,Fracture of tibia and fibula
S82.83,Fracture of tibia and fibula
S82.86,Fracture of tibia and fibula
S82.5,Fracture of ankle
S82.6,Fracture of ankle
S82.84,Fracture of ankle
S82.85,Fracture of ankle
S82.88,"Fracture of LE, other"
S82.89,"Fracture of LE, other"
S82.9,"Fracture of LE, other"
S92,"Fracture of LE, other"
S89.8,"Fracture of LE, other"
S89.9,"Fracture of LE, other"
