key,value
W00.0,True
W01,True
W03,True
W00.1,False
W00.2,False
W00.9,False
W04,False
W05,False
W06,False
W07,False
W08,False
W09,False
W10,False
W11,False
W12,False
W13,False
W14,False
W15,False
W16,False
W17,False
W18,False
W19,False
W20,False
W21,False
W22,False
W23,False
W24,False
W25,False
W26,False
W27,False
W28,False
W29,False
W30,False
W31,False
W32,False
W33,False
W34,False
W36,False
W37,False
W38,False
W39,False
W40,False
W45,False
W49,False
W50,False
W51,False
W52,False
W54,False
W55,False
W56,False
W57,False
W58,False
W59,False
W60,False
W61,False
W64,False
W85,False
W86,False
W94,False
Y33,False
V03,False
V00,False
V18,False
